застройщик,название_жк,город,район_адрес,ссылка_жк,ссылка_квартира,комнат,площадь_м2,цена_полная_тг,цена_за_м2_тг,этаж,дом_блок_секция,срок_сдачи,статус,отделка,класс_жилья,условия_покупки,дата_парсинга,источник
GBG,GBG Park,Астана,"Есиль, парк Астана, ул. Достык 5",https://gbg.kz/astana,https://gbg.kz/astana/gbg-park-2k,2,68.5,40415000.0,590000.0,14/22,Башня 2,Q3 2026,строится,чистовая,комфорт+,"ипотека, рассрочка 0% до сдачи",2026-05-27 17:27:37,gbg.kz
GBG,GBG Park,Астана,"Есиль, парк Астана, ул. Достык 5",https://gbg.kz/astana,https://gbg.kz/astana/gbg-park-3k,3,96.2,57718000.0,600000.0,18/22,Башня 2,Q3 2026,строится,чистовая,комфорт+,"ипотека, рассрочка 0% до сдачи",2026-05-27 17:27:37,gbg.kz
Svoy Dom,Свой Дом Плюс,Астана,"Алматинский, мкр. Айгерим-1, ул. Рыскулова 8",https://svoydom.kz/projects/svoy-dom-plus/,https://svoydom.kz/projects/svoy-dom-plus/apartments/1k-33m2,1,33.0,11550000.0,350000.0,2/9,Корпус 2,Q2 2025,сдан,черновая,эконом,"ипотека Отбасы, рассрочка 12 мес",2026-05-27 17:27:37,svoydom.kz
Svoy Dom,Свой Дом Плюс,Астана,"Алматинский, мкр. Айгерим-1, ул. Рыскулова 8",https://svoydom.kz/projects/svoy-dom-plus/,https://svoydom.kz/projects/svoy-dom-plus/apartments/2k-52m2,2,52.0,18200000.0,350000.0,5/9,Корпус 3,Q2 2025,сдан,черновая,эконом,"ипотека Отбасы, рассрочка 12 мес",2026-05-27 17:27:37,svoydom.kz
Svoy Dom,Свой Дом Плюс,Астана,"Алматинский, мкр. Айгерим-1, ул. Рыскулова 8",https://svoydom.kz/projects/svoy-dom-plus/,https://svoydom.kz/projects/svoy-dom-plus/apartments/3k-75m2,3,75.0,26250000.0,350000.0,7/9,Корпус 1,Q2 2025,сдан,черновая,эконом,"ипотека Отбасы, рассрочка 12 мес",2026-05-27 17:27:37,svoydom.kz
Svoy Dom,Экспо Резиденс,Астана,"Есиль, мкр. Экспо, ул. Орынбор 14",https://svoydom.kz/projects/expo-residence/,https://svoydom.kz/projects/expo-residence/apartments/1k-45m2,1,45.0,22500000.0,500000.0,12/25,Блок А,Q4 2026,строится,чистовая,комфорт,"ипотека, рассрочка до сдачи",2026-05-27 17:27:37,svoydom.kz
SAT Development,SAT Nova,Астана,"Байконур, ул. Кенесары 52",https://sat-ns.kz/,https://sat-ns.kz/#nova-1k,1,37.8,15120000.0,400000.0,4/14,Секция А,Q1 2026,строится,черновая,комфорт,"ипотека, рассрочка 18 мес",2026-05-27 17:27:37,sat-ns.kz
SAT Development,SAT Nova,Астана,"Байконур, ул. Кенесары 52",https://sat-ns.kz/,https://sat-ns.kz/#nova-2k,2,60.4,24160000.0,400000.0,7/14,Секция Б,Q1 2026,строится,черновая,комфорт,"ипотека, рассрочка 18 мес",2026-05-27 17:27:37,sat-ns.kz
SAT Development,SAT Nova,Астана,"Байконур, ул. Кенесары 52",https://sat-ns.kz/,https://sat-ns.kz/#nova-3k,3,85.0,34000000.0,400000.0,10/14,Секция В,Q1 2026,строится,черновая,комфорт,"ипотека, рассрочка 18 мес",2026-05-27 17:27:37,sat-ns.kz
Elita Group,Elita Residence,Астана,"Есиль, ул. Сыганак 14",https://korter.kz/жк/elita-residence,https://korter.kz/жк/elita-residence/планировки/1к-41м2,1,41.0,24600000.0,600000.0,6/18,Корпус 1,Q2 2026,строится,чистовая,бизнес,"ипотека, рассрочка 0%",2026-05-27 17:27:37,korter.kz
Elita Group,Elita Residence,Астана,"Есиль, ул. Сыганак 14",https://korter.kz/жк/elita-residence,https://korter.kz/жк/elita-residence/планировки/2к-66м2,2,66.0,41580000.0,630000.0,11/18,Корпус 2,Q2 2026,строится,чистовая,бизнес,"ипотека, рассрочка 0%",2026-05-27 17:27:37,korter.kz
Miras Group,Miras Park,Астана,"Нура, пр. Женис 45",https://korter.kz/жк/miras-park,https://korter.kz/жк/miras-park/планировки/1к-38м2,1,38.0,13300000.0,350000.0,3/12,Дом 3,Q3 2025,сдан,черновая,эконом,ипотека Отбасы,2026-05-27 17:27:37,korter.kz
Miras Group,Miras Park,Астана,"Нура, пр. Женис 45",https://korter.kz/жк/miras-park,https://korter.kz/жк/miras-park/планировки/2к-60м2,2,60.0,21000000.0,350000.0,6/12,Дом 4,Q3 2025,сдан,черновая,эконом,ипотека Отбасы,2026-05-27 17:27:37,korter.kz
Tamos Invest,Tamos Comfort,Астана,"Алматинский, мкр. Самал-2, ул. Бейбарыс Sultan 14",https://korter.kz/жк/tamos-comfort,https://korter.kz/жк/tamos-comfort/планировки/1к-36м2,1,36.0,12960000.0,360000.0,4/10,Корпус А,Q4 2025,сдан,черновая,эконом,"ипотека, рассрочка",2026-05-27 17:27:37,korter.kz
Tamos Invest,Tamos Comfort,Астана,"Алматинский, мкр. Самал-2, ул. Бейбарыс Sultan 14",https://korter.kz/жк/tamos-comfort,https://korter.kz/жк/tamos-comfort/планировки/2к-56м2,2,56.0,20160000.0,360000.0,7/10,Корпус Б,Q4 2025,сдан,черновая,эконом,"ипотека, рассрочка",2026-05-27 17:27:37,korter.kz
Tamos Invest,Tamos Comfort,Астана,"Алматинский, мкр. Самал-2, ул. Бейбарыс Sultan 14",https://korter.kz/жк/tamos-comfort,https://korter.kz/жк/tamos-comfort/планировки/3к-78м2,3,78.0,28080000.0,360000.0,9/10,Корпус В,Q4 2025,сдан,черновая,эконом,"ипотека, рассрочка",2026-05-27 17:27:37,korter.kz
Kusto Home,Capital Park,Астана,"Есиль, ул. Динмухамеда Кунаева 8",https://krisha.kz/kompleksy/capital-park-astana/,https://krisha.kz/kompleksy/capital-park-astana/flat/1k-48m2,1,48.0,33600000.0,700000.0,8/20,Блок 1,Q3 2026,строится,чистовая,бизнес,"ипотека Halyk/Kaspi, рассрочка 0%",2026-05-27 17:27:37,krisha.kz
Kusto Home,Capital Park,Астана,"Есиль, ул. Динмухамеда Кунаева 8",https://krisha.kz/kompleksy/capital-park-astana/,https://krisha.kz/kompleksy/capital-park-astana/flat/2k-74m2,2,74.0,51800000.0,700000.0,14/20,Блок 2,Q3 2026,строится,чистовая,бизнес,"ипотека Halyk/Kaspi, рассрочка 0%",2026-05-27 17:27:37,krisha.kz
Kusto Home,Capital Park,Астана,"Есиль, ул. Динмухамеда Кунаева 8",https://krisha.kz/kompleksy/capital-park-astana/,https://krisha.kz/kompleksy/capital-park-astana/flat/3k-102m2,3,102.0,71400000.0,700000.0,17/20,Блок 3,Q3 2026,строится,чистовая,бизнес,"ипотека Halyk/Kaspi, рассрочка 0%",2026-05-27 17:27:37,krisha.kz
Bazis-A,Bazis Standard,Астана,"Алматинский, ул. Чехова 28",https://homsters.kz/estate/bazis-standard/,https://homsters.kz/estate/bazis-standard/1k-33m2,1,33.0,11220000.0,340000.0,2/12,Корпус 1,Q1 2025,сдан,черновая,эконом,ипотека Отбасы банк,2026-05-27 17:27:37,homsters.kz
Bazis-A,Bazis Standard,Астана,"Алматинский, ул. Чехова 28",https://homsters.kz/estate/bazis-standard/,https://homsters.kz/estate/bazis-standard/2k-54m2,2,54.0,18360000.0,340000.0,5/12,Корпус 2,Q1 2025,сдан,черновая,эконом,ипотека Отбасы банк,2026-05-27 17:27:37,homsters.kz
Bazis-A,Bazis Standard,Астана,"Алматинский, ул. Чехова 28",https://homsters.kz/estate/bazis-standard/,https://homsters.kz/estate/bazis-standard/3k-77m2,3,77.0,27720000.0,360000.0,9/12,Корпус 3,Q1 2025,сдан,черновая,эконом,ипотека Отбасы банк,2026-05-27 17:27:37,homsters.kz
Eurasia Group,Eurasia Sky,Астана,"Есиль, ул. Акмешіт 10",https://kapster.kz/complex/eurasia-sky,https://kapster.kz/complex/eurasia-sky/apt/1k-50m2,1,50.0,35000000.0,700000.0,16/30,Tower C,Q4 2027,строится,дизайнерская,бизнес,"ипотека, рассрочка 30%+70%",2026-05-27 17:27:37,kapster.kz
Eurasia Group,Eurasia Sky,Астана,"Есиль, ул. Акмешіт 10",https://kapster.kz/complex/eurasia-sky,https://kapster.kz/complex/eurasia-sky/apt/2k-80m2,2,80.0,56000000.0,700000.0,22/30,Tower D,Q4 2027,строится,дизайнерская,бизнес,"ипотека, рассрочка 30%+70%",2026-05-27 17:27:37,kapster.kz
Qazaqstroy,Triumph,Астана,"Байконур, ул. Сарыарка 26",https://qazaqstroy.kz/ru/kompleksy/triumph,https://qazaqstroy.kz/ru/kvartiry/triumph-1k-promo,1,31.5,7875000.0,250000.0,1/18,Дом 1,Q3 2025,акция,черновая,эконом,"АКЦИЯ: 100% оплата, скидка 30%, только до 30.06.2026",2026-05-27 17:27:37,qazaqstroy.kz
Rams,Rams City,Астана,"Байконур, ул. Момышулы 14",https://ramsqz.com/ru/home,https://ramsqz.com/ru/apartments/rams-city-promo,2,54.0,13500000.0,250000.0,2/17,Корпус 1,Q1 2026,акция,черновая,эконом,СТАРТОВАЯ ЦЕНА: только первые 5 квартир! Инвест-скидка 36%,2026-05-27 17:27:37,ramsqz.com
Sensata,Sensata Residence,Астана,"Есиль, Дипломатический городок, ул. Иманова 32",https://sensata.kz/,https://sensata.kz/#premium-penthouse,4,210.0,,,13-14/14,Sky Penthouse,Q2 2027,бронь,дизайнерская по запросу,элит,"индивидуальные условия, уточнить у менеджера",2026-05-27 17:27:37,sensata.kz
GBG,GBG Tower,Астана,"Есиль, CBD, ул. Орынбор 18",https://gbg.kz/astana,https://gbg.kz/astana/tower-penthouse,3,180.0,,,28/28,Penthouse Floor,Q4 2027,бронь,под ключ по проекту,элит,цена по запросу — отдел продаж: +7-7172-XX-XX-XX,2026-05-27 17:27:37,gbg.kz
BI Group,BI City 2,Астана,"Алматинский, ул. Богенбай батыра 28",https://bi.group/ru/complex/bi-city-2/,https://bi.group/ru/complex/bi-city-2/plans/?flat=20104,1,38.0,15200000.0,400000.0,14/16,Секция 4,Q2 2026,доступно,черновая,эконом,"ипотека, рассрочка 0%",2026-05-27 17:27:37,bi.group
BI Group,BI Plaza,Астана,"Есиль, пр. Туран 24",https://bi.group/ru/complex/bi-plaza/,https://bi.group/ru/complex/bi-plaza/plans/?flat=10204,4,108.5,56420000.0,520000.0,22/24,Блок В,Q4 2025,доступно,чистовая,комфорт,"ипотека, рассрочка 0%",2026-05-27 17:27:37,bi.group
BI Group,Alatau City,Астана,"Есиль, пр. Кабанбай батыра 58",https://bi.group/ru/complex/alatau-city/,https://bi.group/ru/complex/alatau-city/plans/?flat=30103,3,105.2,68380000.0,650000.0,25/30,Tower A,Q1 2027,доступно,дизайнерская,бизнес,"ипотека, рассрочка",2026-05-27 17:27:37,bi.group
Qazaqstroy,Astra,Астана,"Алматинский, пр. Республики 14",https://qazaqstroy.kz/ru/kompleksy/astra,https://qazaqstroy.kz/ru/kvartiry/astra-3k-90m2,3,90.0,37800000.0,420000.0,15/20,Блок 3,Q4 2026,строится,чистовая,комфорт,"ипотека, рассрочка до сдачи",2026-05-27 17:27:37,qazaqstroy.kz
Qazaqstroy,Nova,Астана,"Нура, ул. Жубанова 4",https://qazaqstroy.kz/ru/kompleksy/nova,https://qazaqstroy.kz/ru/kvartiry/nova-1k-35m2,1,35.5,13135000.0,370000.0,5/14,Дом А,Q2 2027,строится,черновая,эконом,"ипотека Отбасы, рассрочка 30 мес",2026-05-27 17:27:37,qazaqstroy.kz
Qazaqstroy,Nova,Астана,"Нура, ул. Жубанова 4",https://qazaqstroy.kz/ru/kompleksy/nova,https://qazaqstroy.kz/ru/kvartiry/nova-2k-58m2,2,58.0,21460000.0,370000.0,9/14,Дом Б,Q2 2027,строится,черновая,эконом,"ипотека Отбасы, рассрочка 30 мес",2026-05-27 17:27:37,qazaqstroy.kz
GBG,GBG Tower,Астана,"Есиль, CBD, ул. Орынбор 18",https://gbg.kz/astana,https://gbg.kz/astana/tower-1k,1,52.0,41600000.0,800000.0,10/28,Башня А,Q4 2027,строится,дизайнерская,бизнес-элит,"ипотека, рассрочка 40%+60% при сдаче",2026-05-27 17:27:37,gbg.kz
GBG,GBG Tower,Астана,"Есиль, CBD, ул. Орынбор 18",https://gbg.kz/astana,https://gbg.kz/astana/tower-2k,2,82.5,66000000.0,800000.0,18/28,Башня Б,Q4 2027,строится,дизайнерская,бизнес-элит,"ипотека, рассрочка 40%+60% при сдаче",2026-05-27 17:27:37,gbg.kz
SAT Development,SAT Premium,Астана,"Есиль, ул. Мангилик Ел 55",https://sat-ns.kz/,https://sat-ns.kz/#premium-1k,1,46.0,27600000.0,600000.0,8/18,Башня А,Q3 2026,строится,чистовая,бизнес,"ипотека, рассрочка 0% 24 мес",2026-05-27 17:27:37,sat-ns.kz
SAT Development,SAT Premium,Астана,"Есиль, ул. Мангилик Ел 55",https://sat-ns.kz/,https://sat-ns.kz/#premium-2k,2,72.0,43200000.0,600000.0,14/18,Башня Б,Q3 2026,строится,чистовая,бизнес,"ипотека, рассрочка 0% 24 мес",2026-05-27 17:27:37,sat-ns.kz
Asyl Stroy,Asyl Park,Астана,"Байконур, мкр. Юго-Восток, ул. Темирбека Жургенова 4",https://korter.kz/жк/asyl-park,https://korter.kz/жк/asyl-park/планировки/1к-32м2,1,32.0,10880000.0,340000.0,3/10,Корпус 1,Q1 2026,строится,черновая,эконом,"ипотека Отбасы, рассрочка",2026-05-27 17:27:37,korter.kz
Asyl Stroy,Asyl Park,Астана,"Байконур, мкр. Юго-Восток, ул. Темирбека Жургенова 4",https://korter.kz/жк/asyl-park,https://korter.kz/жк/asyl-park/планировки/2к-52м2,2,52.0,17680000.0,340000.0,7/10,Корпус 2,Q1 2026,строится,черновая,эконом,"ипотека Отбасы, рассрочка",2026-05-27 17:27:37,korter.kz
Asyl Stroy,Asyl Park,Астана,"Байконур, мкр. Юго-Восток, ул. Темирбека Жургенова 4",https://korter.kz/жк/asyl-park,https://korter.kz/жк/asyl-park/планировки/3к-74м2,3,74.0,25160000.0,340000.0,9/10,Корпус 3,Q1 2026,строится,черновая,эконом,"ипотека Отбасы, рассрочка",2026-05-27 17:27:37,korter.kz
Grand Stroy,Grand Expo,Астана,"Есиль, мкр. Экспо, ул. Кабанбай батыра 2",https://korter.kz/жк/grand-expo,https://korter.kz/жк/grand-expo/планировки/1к-47м2,1,47.0,29140000.0,620000.0,12/22,Блок А,Q2 2026,строится,чистовая,бизнес,"ипотека, рассрочка 0% до сдачи",2026-05-27 17:27:37,korter.kz
Grand Stroy,Grand Expo,Астана,"Есиль, мкр. Экспо, ул. Кабанбай батыра 2",https://korter.kz/жк/grand-expo,https://korter.kz/жк/grand-expo/планировки/2к-74м2,2,74.0,45880000.0,620000.0,18/22,Блок Б,Q2 2026,строится,чистовая,бизнес,"ипотека, рассрочка 0% до сдачи",2026-05-27 17:27:37,korter.kz
Grand Stroy,Grand Expo,Астана,"Есиль, мкр. Экспо, ул. Кабанбай батыра 2",https://korter.kz/жк/grand-expo,https://korter.kz/жк/grand-expo/планировки/3к-98м2,3,98.0,60760000.0,620000.0,21/22,Блок В,Q2 2026,строится,чистовая,бизнес,"ипотека, рассрочка 0% до сдачи",2026-05-27 17:27:37,korter.kz
Caspian Group,Caspian Towers,Астана,"Есиль, ул. Сыганак 28",https://homsters.kz/estate/caspian-towers/,https://homsters.kz/estate/caspian-towers/1k-44m2,1,44.0,29920000.0,680000.0,7/24,Tower 1,Q4 2026,строится,чистовая,бизнес,"ипотека Halyk, рассрочка 0%",2026-05-27 17:27:37,homsters.kz
Caspian Group,Caspian Towers,Астана,"Есиль, ул. Сыганак 28",https://homsters.kz/estate/caspian-towers/,https://homsters.kz/estate/caspian-towers/2k-68m2,2,68.0,46240000.0,680000.0,14/24,Tower 2,Q4 2026,строится,чистовая,бизнес,"ипотека Halyk, рассрочка 0%",2026-05-27 17:27:37,homsters.kz
Altai Invest,Altai City,Астана,"Алматинский, мкр. Тулпар, ул. Алматы 18",https://homsters.kz/estate/altai-city/,https://homsters.kz/estate/altai-city/1k-34m2,1,34.0,11560000.0,340000.0,4/12,Корпус 1,Q3 2025,сдан,черновая,эконом,"ипотека Отбасы, рассрочка 12 мес",2026-05-27 17:27:37,homsters.kz
Altai Invest,Altai City,Астана,"Алматинский, мкр. Тулпар, ул. Алматы 18",https://homsters.kz/estate/altai-city/,https://homsters.kz/estate/altai-city/2k-56m2,2,56.0,19040000.0,340000.0,8/12,Корпус 2,Q3 2025,сдан,черновая,эконом,"ипотека Отбасы, рассрочка 12 мес",2026-05-27 17:27:37,homsters.kz
Altai Invest,Altai City,Астана,"Алматинский, мкр. Тулпар, ул. Алматы 18",https://homsters.kz/estate/altai-city/,https://homsters.kz/estate/altai-city/3k-78m2,3,78.0,26520000.0,340000.0,11/12,Корпус 3,Q3 2025,сдан,черновая,эконом,"ипотека Отбасы, рассрочка 12 мес",2026-05-27 17:27:37,homsters.kz
Prime Development,Prime Residence,Астана,"Есиль, ул. Достык 18",https://kapster.kz/complex/prime-residence,https://kapster.kz/complex/prime-residence/apt/1k-55m2,1,55.0,44000000.0,800000.0,13/25,Блок 1,Q1 2027,строится,дизайнерская,бизнес-элит,"ипотека, рассрочка 30%+70%",2026-05-27 17:27:37,kapster.kz
Prime Development,Prime Residence,Астана,"Есиль, ул. Достык 18",https://kapster.kz/complex/prime-residence,https://kapster.kz/complex/prime-residence/apt/2k-88m2,2,88.0,70400000.0,800000.0,20/25,Блок 2,Q1 2027,строится,дизайнерская,бизнес-элит,"ипотека, рассрочка 30%+70%",2026-05-27 17:27:37,kapster.kz
Prime Development,Prime Residence,Астана,"Есиль, ул. Достык 18",https://kapster.kz/complex/prime-residence,https://kapster.kz/complex/prime-residence/apt/3k-120m2,3,120.0,96000000.0,800000.0,24/25,Блок 3,Q1 2027,строится,дизайнерская,бизнес-элит,"ипотека, рассрочка 30%+70%",2026-05-27 17:27:37,kapster.kz
Alma Group,Alma Residence,Астана,"Алматинский, ул. Иманбаева 8",https://krisha.kz/kompleksy/alma-residence/,https://krisha.kz/kompleksy/alma-residence/flat/1k-39m2,1,39.0,15210000.0,390000.0,6/14,Корпус А,Q4 2025,сдан,черновая,комфорт,"ипотека Kaspi, рассрочка",2026-05-27 17:27:37,krisha.kz
Alma Group,Alma Residence,Астана,"Алматинский, ул. Иманбаева 8",https://krisha.kz/kompleksy/alma-residence/,https://krisha.kz/kompleksy/alma-residence/flat/2k-63m2,2,63.0,24570000.0,390000.0,10/14,Корпус Б,Q4 2025,сдан,черновая,комфорт,"ипотека Kaspi, рассрочка",2026-05-27 17:27:37,krisha.kz
Alma Group,Alma Residence,Астана,"Алматинский, ул. Иманбаева 8",https://krisha.kz/kompleksy/alma-residence/,https://krisha.kz/kompleksy/alma-residence/flat/3k-88m2,3,88.0,34320000.0,390000.0,13/14,Корпус В,Q4 2025,сдан,черновая,комфорт,"ипотека Kaspi, рассрочка",2026-05-27 17:27:37,krisha.kz
